class,label,concept
"garden spider, Aranea diademata",34,a animal
"garden spider, Aranea diademata",34,a leaf
"garden spider, Aranea diademata",34,"a small, round shape"
"garden spider, Aranea diademata",34,a tree
"garden spider, Aranea diademata",34,a garden
"garden spider, Aranea diademata",34,eight long legs
"garden spider, Aranea diademata",34,"a long, thin abdomen"
"garden spider, Aranea diademata",34,two long pedipalps
"garden spider, Aranea diademata",34,a dark-colored carapace
spoonbill,35,a animal
spoonbill,35,a net
spoonbill,35,a webbed foot
spoonbill,35,a marsh
spoonbill,35,"a long, slender neck"
spoonbill,35,"a long, curved bill"
spoonbill,35,a reel
spoonbill,35,a fish
spoonbill,35,a rod
spoonbill,35,"a tall, slender body"
spoonbill,35,a swamp
spoonbill,35,"a long, thin neck"
spoonbill,35,feathers at the other end
spoonbill,35,black plumage
spoonbill,35,a lake
spoonbill,35,bait
spoonbill,35,"a large, flat beak"
spoonbill,35,vertebrate
spoonbill,35,a long beak
spoonbill,35,a small head at the other end
spoonbill,35,a river
hermit crab,36,a light color
hermit crab,36,a human
hermit crab,36,a animal
hermit crab,36,"a long, thin legs"
hermit crab,36,sand
hermit crab,36,invertebrate
hermit crab,36,a shell
hermit crab,36,a tide pool
hermit crab,36,"a small, crab-like body"
hermit crab,36,claws on its legs
hermit crab,36,usually has a dark color
hermit crab,36,two large claws
hermit crab,36,a rock
hermit crab,36,arthropod
hermit crab,36,seaweed
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a animal
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a large size
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a surfboard
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a surfer
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a seal
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a shark cage
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a camera
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a fish
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,fins
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,seaweed
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,the ocean
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a white or gray color
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a wet suit
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,seals
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a sea
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a diving mask
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,"a long, torpedo-shaped body"
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,"a small, pointed tail"
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,vertebrate
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,a large mouth
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37,"large, triangular fins"
green mamba,38,trees
green mamba,38,reptile
green mamba,38,"a small, round shape"
green mamba,38,a narrow head
green mamba,38,yellow or white belly
green mamba,38,"a long, tapered tail"
green mamba,38,a tree
green mamba,38,leaves
green mamba,38,a leaves
green mamba,38,a grass
green mamba,38,animal
green mamba,38,green color
green mamba,38,black or brown scales
green mamba,38,a green color
green mamba,38,a branch
green mamba,38,black or brown stripes
green mamba,38,bushes
bee eater,39,a tree
bee eater,39,a bee suit
bee eater,39,a tail with long feathers
bee eater,39,"a long, thick tail"
bee eater,39,animal
bee eater,39,beeswax
bee eater,39,beekeeping
bee eater,39,insect eater
bee eater,39,a flower
bee eater,39,a nest
bee eater,39,"a small, dark-colored body"
bee eater,39,legs with spurs
bee eater,39,vertebrate
bee eater,39,flowers
bee eater,39,a leaf
bee eater,39,a long beak
bee eater,39,honey
bee eater,39,a small head at the other end
bee eater,39,"a long, thin beak"
bee eater,39,a branch
bee eater,39,a beehive
bustard,40,"a long, thick tail"
bustard,40,a mottled brown plumage
bustard,40,vertebrate
bustard,40,a animal
bustard,40,"short, front legs"
bustard,40,"a long, sharp beak"
bustard,40,"a large, stocky bird"
bustard,40,"a long, slender neck"
bustard,40,a tree
bustard,40,a field
bustard,40,a sky
bustard,40,a fence
bustard,40,a white breast
bustard,40,a long neck
bustard,40,grass
bustard,40,a bush
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a large size
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a keeper
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,scales
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a tree
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a dish
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a scaly skin
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a rock
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,"long, sharp claws"
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,"a long, thick tail"
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,"a long, forked tongue"
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,animal
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,reptile
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a fence
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,vertebrate
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a water dish
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a carnivorous diet
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a zoo
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a heat lamp
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,"a large, bulky body"
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a cage
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41,a lizard
"hognose snake, puff adder, sand viper",42,a snake charmer
"hognose snake, puff adder, sand viper",42,vertebrate
"hognose snake, puff adder, sand viper",42,a stone
"hognose snake, puff adder, sand viper",42,a white or pale color
"hognose snake, puff adder, sand viper",42,logs
"hognose snake, puff adder, sand viper",42,rocks
"hognose snake, puff adder, sand viper",42,a stick
"hognose snake, puff adder, sand viper",42,leaves
"hognose snake, puff adder, sand viper",42,"a small, round shape"
"hognose snake, puff adder, sand viper",42,animal
"hognose snake, puff adder, sand viper",42,a upturned nose
"hognose snake, puff adder, sand viper",42,a forest
"hognose snake, puff adder, sand viper",42,reptile
"hognose snake, puff adder, sand viper",42,"a large, square head"
"hognose snake, puff adder, sand viper",42,a log
"common iguana, iguana, Iguana iguana",43,trees
"common iguana, iguana, Iguana iguana",43,a branch
"common iguana, iguana, Iguana iguana",43,"a long, prehensile tongue"
"common iguana, iguana, Iguana iguana",43,a wedge-shaped head
"common iguana, iguana, Iguana iguana",43,a dish
"common iguana, iguana, Iguana iguana",43,"a long, green body"
"common iguana, iguana, Iguana iguana",43,sharp claws
"common iguana, iguana, Iguana iguana",43,a hide box
"common iguana, iguana, Iguana iguana",43,"a long, thick tail"
"common iguana, iguana, Iguana iguana",43,leaves
"common iguana, iguana, Iguana iguana",43,animal
"common iguana, iguana, Iguana iguana",43,reptile
"common iguana, iguana, Iguana iguana",43,a human
"common iguana, iguana, Iguana iguana",43,a stone
"common iguana, iguana, Iguana iguana",43,a water bowl
"common iguana, iguana, Iguana iguana",43,a basking platform
"common iguana, iguana, Iguana iguana",43,amphibian
"common iguana, iguana, Iguana iguana",43,a small head
"common iguana, iguana, Iguana iguana",43,a heat lamp
"common iguana, iguana, Iguana iguana",43,a cage
"common iguana, iguana, Iguana iguana",43,a sunbeam
"king snake, kingsnake",44,a branch
"king snake, kingsnake",44,a wedge-shaped head
"king snake, kingsnake",44,a animal
"king snake, kingsnake",44,vertebrate
"king snake, kingsnake",44,a water bowl
"king snake, kingsnake",44,"a small, round shape"
"king snake, kingsnake",44,a tree
"king snake, kingsnake",44,"a long, forked tongue"
"king snake, kingsnake",44,a leaves
"king snake, kingsnake",44,a woods
"king snake, kingsnake",44,a heat lamp
"king snake, kingsnake",44,"a small, oblong shape"
"king snake, kingsnake",44,a bed of straw
"king snake, kingsnake",44,a cage
"king snake, kingsnake",44,reptile
"king snake, kingsnake",44,smooth scales
toucan,45,trees
toucan,45,a tree
toucan,45,a perch
toucan,45,a rainforest
toucan,45,a oval-shaped body
toucan,45,feathers
toucan,45,animal
toucan,45,bright plumage
toucan,45,"short, round wings"
toucan,45,"a long, sharp beak"
toucan,45,a brightly colored body
toucan,45,a jungle
toucan,45,"large, protruding eyes"
toucan,45,fruit
toucan,45,a long beak
toucan,45,a small head at the other end
toucan,45,a bird feeder
toucan,45,a branch
toucan,45,"a long, feathered tail"
peacock,46,living thing
peacock,46,egg
peacock,46,a peahen
peacock,46,a fruit
peacock,46,"a high, shrill call"
peacock,46,a perch
peacock,46,insects
peacock,46,"a large, colorful bird"
peacock,46,animal
peacock,46,chicks
peacock,46,a bird feeder
peacock,46,a birdbath
peacock,46,a cage
peacock,46,a nest
peacock,46,organism
"barn spider, Araneus cavaticus",47,a mouse
"barn spider, Araneus cavaticus",47,"a small, round body"
"barn spider, Araneus cavaticus",47,arachnid
"barn spider, Araneus cavaticus",47,"a small, round shape"
"barn spider, Araneus cavaticus",47,a brown or grayish color
"barn spider, Araneus cavaticus",47,a brown or black color
"barn spider, Araneus cavaticus",47,eight long legs
"barn spider, Araneus cavaticus",47,"long, arms and legs"
"barn spider, Araneus cavaticus",47,"two large, curved fangs"
"barn spider, Araneus cavaticus",47,"a long, thin abdomen"
"barn spider, Araneus cavaticus",47,a hay bale
"barn spider, Araneus cavaticus",47,a rodent
"wolf spider, hunting spider",48,a dark color (usually black)
"wolf spider, hunting spider",48,arachnid
"wolf spider, hunting spider",48,a prey
"wolf spider, hunting spider",48,a animal
"wolf spider, hunting spider",48,a leaf
"wolf spider, hunting spider",48,a stone
"wolf spider, hunting spider",48,"a long, furry body"
"wolf spider, hunting spider",48,a cave
"wolf spider, hunting spider",48,insects
"wolf spider, hunting spider",48,a woods
"wolf spider, hunting spider",48,good night vision
"wolf spider, hunting spider",48,eight legs
"wolf spider, hunting spider",48,a log
"wolf spider, hunting spider",48,"two long, curved fangs"
"wolf spider, hunting spider",48,"two long, pedipalps (or fangs)"
"wolf spider, hunting spider",48,a hole
"wolf spider, hunting spider",48,a branch
"wolf spider, hunting spider",48,good eyesight
"thunder snake, worm snake, Carphophis amoenus",49,"a short, stout body"
"thunder snake, worm snake, Carphophis amoenus",49,a worm
"thunder snake, worm snake, Carphophis amoenus",49,dirt
"thunder snake, worm snake, Carphophis amoenus",49,no legs
"thunder snake, worm snake, Carphophis amoenus",49,vertebrate
"thunder snake, worm snake, Carphophis amoenus",49,a white belly
"thunder snake, worm snake, Carphophis amoenus",49,"a long, tapered tail"
"thunder snake, worm snake, Carphophis amoenus",49,a park
"thunder snake, worm snake, Carphophis amoenus",49,a garden
"thunder snake, worm snake, Carphophis amoenus",49,a small head at the other end
"thunder snake, worm snake, Carphophis amoenus",49,grass
"thunder snake, worm snake, Carphophis amoenus",49,animal
"thunder snake, worm snake, Carphophis amoenus",49,"a small, oblong shape"
"thunder snake, worm snake, Carphophis amoenus",49,"smooth, shiny skin"
"thunder snake, worm snake, Carphophis amoenus",49,a hole
"thunder snake, worm snake, Carphophis amoenus",49,reptile
"thunder snake, worm snake, Carphophis amoenus",49,"a moist, smooth skin"
"thunder snake, worm snake, Carphophis amoenus",49,a lawn
"water ouzel, dipper",50,"a long, thick tail"
"water ouzel, dipper",50,a animal
"water ouzel, dipper",50,vertebrate
"water ouzel, dipper",50,a stone
"water ouzel, dipper",50,a tree
"water ouzel, dipper",50,insects
"water ouzel, dipper",50,"a long, curved bill"
"water ouzel, dipper",50,a river
"water ouzel, dipper",50,a white breast
"water ouzel, dipper",50,a fish
"water ouzel, dipper",50,a water
"water ouzel, dipper",50,a black cap on the head
"water ouzel, dipper",50,a nest
"water ouzel, dipper",50,a log
"water ouzel, dipper",50,a webbed foot
"water ouzel, dipper",50,"a small, plump body"
"Dungeness crab, Cancer magister",51,a animal
"Dungeness crab, Cancer magister",51,five pairs of legs
"Dungeness crab, Cancer magister",51,seafood
"Dungeness crab, Cancer magister",51,two large claws
"Dungeness crab, Cancer magister",51,a fork
"Dungeness crab, Cancer magister",51,a steamer
"Dungeness crab, Cancer magister",51,"a hard, dark-colored shell"
"Dungeness crab, Cancer magister",51,a fishing rod
"Dungeness crab, Cancer magister",51,"a hard, oval-shaped shell"
"Dungeness crab, Cancer magister",51,a blade
"Dungeness crab, Cancer magister",51,a human
"Dungeness crab, Cancer magister",51,red or brown color
"Dungeness crab, Cancer magister",51,"a small, pointed tail"
"Dungeness crab, Cancer magister",51,bait
"Dungeness crab, Cancer magister",51,a pot
"Dungeness crab, Cancer magister",51,two small eyes on stalks
"Dungeness crab, Cancer magister",51,a fishing line
"Dungeness crab, Cancer magister",51,invertebrate
"Dungeness crab, Cancer magister",51,a crab trap
"Dungeness crab, Cancer magister",51,two small eyes
"Dungeness crab, Cancer magister",51,arthropod
"nematode, nematode worm, roundworm",52,fungus
"nematode, nematode worm, roundworm",52,bacteria
"nematode, nematode worm, roundworm",52,water
"nematode, nematode worm, roundworm",52,"a smooth, unsegmented body"
"nematode, nematode worm, roundworm",52,soil
"nematode, nematode worm, roundworm",52,a worm
"nematode, nematode worm, roundworm",52,"a small, round shape"
"nematode, nematode worm, roundworm",52,insects
"nematode, nematode worm, roundworm",52,animal
"nematode, nematode worm, roundworm",52,"a long, slender shape"
"nematode, nematode worm, roundworm",52,organism
"nematode, nematode worm, roundworm",52,"a small, worm-like body"
"nematode, nematode worm, roundworm",52,no legs
"nematode, nematode worm, roundworm",52,plants
"nematode, nematode worm, roundworm",52,decaying matter
"nematode, nematode worm, roundworm",52,a small mouth
"nematode, nematode worm, roundworm",52,a lack of appendages
"nematode, nematode worm, roundworm",52,a translucent body
"nematode, nematode worm, roundworm",52,invertebrate
vine snake,53,trees
vine snake,53,a animal
vine snake,53,greenish-brown color
vine snake,53,a tree
vine snake,53,branches
vine snake,53,leaves
vine snake,53,a vine
vine snake,53,"a long, forked tongue"
vine snake,53,a green or brown color
vine snake,53,"a long, slender shape"
vine snake,53,a lizard
vine snake,53,"a small, lightweight body"
vine snake,53,reptile
vine snake,53,no legs
vine snake,53,vertebrate
vine snake,53,a leaf
vine snake,53,a pointed face
vine snake,53,vines
vine snake,53,a branch
vine snake,53,"a long, snake-like shape"
wombat,54,a grass
wombat,54,"thick, woolly fur"
wombat,54,"short, stubby legs"
wombat,54,"a long, thick tail"
wombat,54,"a small, round shape"
wombat,54,a park
wombat,54,"a small, squat body"
wombat,54,Mammal
wombat,54,animal
wombat,54,"a cute, furry face"
wombat,54,Eucalyptus trees
wombat,54,marsupial
wombat,54,a woods
wombat,54,Australia
wombat,54,dirt
wombat,54,a zoo
wombat,54,a burrow
wombat,54,a eucalyptus tree
wombat,54,short legs
wombat,54,"a cute, pug-like face"
"black widow, Latrodectus mactans",55,a predator
"black widow, Latrodectus mactans",55,arachnid
"black widow, Latrodectus mactans",55,a prey
"black widow, Latrodectus mactans",55,"a long, thin legs"
"black widow, Latrodectus mactans",55,a black body
"black widow, Latrodectus mactans",55,a small head at the other end
"black widow, Latrodectus mactans",55,animal
"black widow, Latrodectus mactans",55,"a large, bulbous abdomen"
"black widow, Latrodectus mactans",55,arthropod
"oystercatcher, oyster catcher",56,a animal
"oystercatcher, oyster catcher",56,a black and white body
"oystercatcher, oyster catcher",56,a fork
"oystercatcher, oyster catcher",56,an oyster
"oystercatcher, oyster catcher",56,Shells
"oystercatcher, oyster catcher",56,a webbed foot
"oystercatcher, oyster catcher",56,rocks
"oystercatcher, oyster catcher",56,a shell
"oystercatcher, oyster catcher",56,"long, orange legs"
"oystercatcher, oyster catcher",56,seaweed
"oystercatcher, oyster catcher",56,a human
"oystercatcher, oyster catcher",56,a white belly
"oystercatcher, oyster catcher",56,a short beak
"oystercatcher, oyster catcher",56,"a long, sharp beak"
"oystercatcher, oyster catcher",56,"a small, oblong shape"
"oystercatcher, oyster catcher",56,a knife
"oystercatcher, oyster catcher",56,vertebrate
"oystercatcher, oyster catcher",56,a black and white color scheme
"oystercatcher, oyster catcher",56,"a long, thin beak"
"oystercatcher, oyster catcher",56,long legs
black grouse,57,trees
black grouse,57,a hunter
black grouse,57,vertebrate
black grouse,57,"a long, thin neck"
black grouse,57,black plumage
black grouse,57,"short, front legs"
black grouse,57,"a small, round shape"
black grouse,57,leaves
black grouse,57,a male grouse
black grouse,57,a woods
black grouse,57,a grouse
black grouse,57,animal
black grouse,57,chicks
black grouse,57,a white tail
black grouse,57,yellow eyes
black grouse,57,a white wingbar
black grouse,57,bushes
black grouse,57,a short tail
"red-backed sandpiper, dunlin, Erolia alpina",58,a dark brown back
"red-backed sandpiper, dunlin, Erolia alpina",58,a animal
"red-backed sandpiper, dunlin, Erolia alpina",58,a black stripe on the face
"red-backed sandpiper, dunlin, Erolia alpina",58,a wave
"red-backed sandpiper, dunlin, Erolia alpina",58,a white border
"red-backed sandpiper, dunlin, Erolia alpina",58,"a short, black bill"
"red-backed sandpiper, dunlin, Erolia alpina",58,seagrass
"red-backed sandpiper, dunlin, Erolia alpina",58,rocks
"red-backed sandpiper, dunlin, Erolia alpina",58,a red background
"red-backed sandpiper, dunlin, Erolia alpina",58,an octagonal shape
"red-backed sandpiper, dunlin, Erolia alpina",58,"a long, curved bill"
"red-backed sandpiper, dunlin, Erolia alpina",58,a shell
"red-backed sandpiper, dunlin, Erolia alpina",58,a fish
"red-backed sandpiper, dunlin, Erolia alpina",58,"long, orange legs"
"red-backed sandpiper, dunlin, Erolia alpina",58,a shore
"red-backed sandpiper, dunlin, Erolia alpina",58,seaweed
"red-backed sandpiper, dunlin, Erolia alpina",58,a white belly
"red-backed sandpiper, dunlin, Erolia alpina",58,a gull
"red-backed sandpiper, dunlin, Erolia alpina",58,a black belly patch
"red-backed sandpiper, dunlin, Erolia alpina",58,"a small, sparrow-like bird"
"red-backed sandpiper, dunlin, Erolia alpina",58,vertebrate
"red-backed sandpiper, dunlin, Erolia alpina",58,"a small, stocky shorebird"
"red-backed sandpiper, dunlin, Erolia alpina",58,a sandpiper
"goldfinch, Carduelis carduelis",59,a animal
"goldfinch, Carduelis carduelis",59,black wings with white stripes
"goldfinch, Carduelis carduelis",59,a tree
"goldfinch, Carduelis carduelis",59,"a small, forked tail"
"goldfinch, Carduelis carduelis",59,yellow feathers
"goldfinch, Carduelis carduelis",59,"a small, round shape"
"goldfinch, Carduelis carduelis",59,leaves
"goldfinch, Carduelis carduelis",59,a sky
"goldfinch, Carduelis carduelis",59,a bright yellow color
"goldfinch, Carduelis carduelis",59,a short beak
"goldfinch, Carduelis carduelis",59,a flower
"goldfinch, Carduelis carduelis",59,bird seed
"goldfinch, Carduelis carduelis",59,vertebrate
"goldfinch, Carduelis carduelis",59,a leaf
"goldfinch, Carduelis carduelis",59,a small head at the other end
"goldfinch, Carduelis carduelis",59,"a long, thin beak"
"goldfinch, Carduelis carduelis",59,black wings with white bars
"goldfinch, Carduelis carduelis",59,a bird feeder
"goldfinch, Carduelis carduelis",59,a branch
snail,60,mollusc
snail,60,dirt
snail,60,slow moving
snail,60,a leaf
snail,60,two small tentacles
snail,60,rocks
snail,60,"a small, slimy body"
snail,60,invertebrate
snail,60,a garden
snail,60,plants
snail,60,a shell
snail,60,animal
snail,60,"a soft, slimy body"
snail,60,a water
snail,60,"a small, spiral shell"
snail,60,"a large, coiled shell"
"hammerhead, hammerhead shark",61,a human
"hammerhead, hammerhead shark",61,large fins
"hammerhead, hammerhead shark",61,a grey or white body
"hammerhead, hammerhead shark",61,vertebrate
"hammerhead, hammerhead shark",61,grayish color
"hammerhead, hammerhead shark",61,a big head
"hammerhead, hammerhead shark",61,eyes at the side of the head
"hammerhead, hammerhead shark",61,a large mouth
"hammerhead, hammerhead shark",61,the ocean
"hammerhead, hammerhead shark",61,other sharks
"hammerhead, hammerhead shark",61,animal
"hammerhead, hammerhead shark",61,"a long, thick body"
"hammerhead, hammerhead shark",61,powerful fins
"hammerhead, hammerhead shark",61,"a large, round body"
"hammerhead, hammerhead shark",61,fish
"hammerhead, hammerhead shark",61,seaweed
"spotted salamander, Ambystoma maculatum",62,a animal
"spotted salamander, Ambystoma maculatum",62,a stream
"spotted salamander, Ambystoma maculatum",62,smooth skin
"spotted salamander, Ambystoma maculatum",62,a log
"spotted salamander, Ambystoma maculatum",62,"a small, round shape"
"spotted salamander, Ambystoma maculatum",62,leaves
"spotted salamander, Ambystoma maculatum",62,insects
"spotted salamander, Ambystoma maculatum",62,reptile
"spotted salamander, Ambystoma maculatum",62,"a moist, smooth skin"
"spotted salamander, Ambystoma maculatum",62,four legs
"spotted salamander, Ambystoma maculatum",62,a human
"spotted salamander, Ambystoma maculatum",62,a stone
"spotted salamander, Ambystoma maculatum",62,amphibian
"spotted salamander, Ambystoma maculatum",62,a stick
"spotted salamander, Ambystoma maculatum",62,vertebrate
"spotted salamander, Ambystoma maculatum",62,a leaf
"spotted salamander, Ambystoma maculatum",62,salamander
"spotted salamander, Ambystoma maculatum",62,a forest
"spotted salamander, Ambystoma maculatum",62,"a short, stout body"
"spotted salamander, Ambystoma maculatum",62,"a long, feathered tail"
"American alligator, Alligator mississipiensis",63,trees
"American alligator, Alligator mississipiensis",63,a animal
"American alligator, Alligator mississipiensis",63,a tree
"American alligator, Alligator mississipiensis",63,mud
"American alligator, Alligator mississipiensis",63,a scaly skin
"American alligator, Alligator mississipiensis",63,"a large, powerful jaw"
"American alligator, Alligator mississipiensis",63,a log
"American alligator, Alligator mississipiensis",63,fish
"American alligator, Alligator mississipiensis",63,"a long, thick tail"
"American alligator, Alligator mississipiensis",63,"large, sharp teeth"
"American alligator, Alligator mississipiensis",63,reeds
"American alligator, Alligator mississipiensis",63,crocodilian
"American alligator, Alligator mississipiensis",63,"a wide, flat head"
"American alligator, Alligator mississipiensis",63,reptile
"American alligator, Alligator mississipiensis",63,a swamp
"American alligator, Alligator mississipiensis",63,"short, front legs"
"American alligator, Alligator mississipiensis",63,a lake
"American alligator, Alligator mississipiensis",63,a water
"American alligator, Alligator mississipiensis",63,a person
"American alligator, Alligator mississipiensis",63,a river
"American alligator, Alligator mississipiensis",63,"a large, bulky body"
banded gecko,64,"a long, thick tail"
banded gecko,64,a medium-sized body
banded gecko,64,wide head
banded gecko,64,gecko
banded gecko,64,a water bowl
banded gecko,64,rocks
banded gecko,64,sand
banded gecko,64,snakes
banded gecko,64,insects
banded gecko,64,"a long, conspicuous tail"
banded gecko,64,animal
banded gecko,64,"a small, sturdy body"
banded gecko,64,large eyes
banded gecko,64,a lizard
banded gecko,64,"large, round eyes"
banded gecko,64,reptile
banded gecko,64,a desert
banded gecko,64,four legs
"wallaby, brush kangaroo",65,trees
"wallaby, brush kangaroo",65,a tree
"wallaby, brush kangaroo",65,a field
"wallaby, brush kangaroo",65,a grass
"wallaby, brush kangaroo",65,large ears
"wallaby, brush kangaroo",65,a stocky body
"wallaby, brush kangaroo",65,a park
"wallaby, brush kangaroo",65,Mammal
"wallaby, brush kangaroo",65,animal
"wallaby, brush kangaroo",65,a bush
"wallaby, brush kangaroo",65,marsupial
"wallaby, brush kangaroo",65,a nature reserve
"wallaby, brush kangaroo",65,pouch for carrying young
"wallaby, brush kangaroo",65,"short, front legs"
"wallaby, brush kangaroo",65,"a small, sturdy body"
"wallaby, brush kangaroo",65,Australia
"wallaby, brush kangaroo",65,a zoo
"wallaby, brush kangaroo",65,"a long, conspicuous tail"
"wallaby, brush kangaroo",65,a marsupial pouch
"wallaby, brush kangaroo",65,a forest
"great grey owl, great gray owl, Strix nebulosa",66,trees
"great grey owl, great gray owl, Strix nebulosa",66,a mouse
"great grey owl, great gray owl, Strix nebulosa",66,a rabbit
"great grey owl, great gray owl, Strix nebulosa",66,vertebrate
"great grey owl, great gray owl, Strix nebulosa",66,heavy facial discs
"great grey owl, great gray owl, Strix nebulosa",66,a field
"great grey owl, great gray owl, Strix nebulosa",66,a woods
"great grey owl, great gray owl, Strix nebulosa",66,a round face
"great grey owl, great gray owl, Strix nebulosa",66,animal
"great grey owl, great gray owl, Strix nebulosa",66,a vole
